Step, Time, Epot, Ekin, Etot
1, 0.040000, -603920.712749, 58220.355807, -545700.356942
2, 0.080000, -578309.136658, 47640.901656, -530668.235002
3, 0.120000, -586443.137549, 42081.813978, -544361.323571
4, 0.160000, -588704.653625, 38498.906083, -550205.747542
5, 0.200000, -584987.143143, 35542.783292, -549444.359851
6, 0.240000, -578663.508810, 32845.295884, -545818.212926
7, 0.280000, -582418.553175, 30498.819960, -551919.733215
8, 0.320000, -579357.120773, 28494.661824, -550862.458949
9, 0.360000, -578683.757032, 26657.193419, -552026.563612
10, 0.400000, -578354.251098, 24898.316317, -553455.934781
11, 0.440000, -579595.496187, 23389.346899, -556206.149288
12, 0.480000, -582789.963309, 22082.207812, -560707.755497
13, 0.520000, -586031.290871, 20994.026835, -565037.264036
14, 0.560000, -585706.039716, 19965.502449, -565740.537267
15, 0.600000, -584458.564770, 18994.894197, -565463.670573
16, 0.640000, -585678.172730, 18050.531217, -567627.641512
17, 0.680000, -585140.555141, 17108.860865, -568031.694275
18, 0.720000, -582664.381866, 16321.432496, -566342.949370
19, 0.760000, -583304.483088, 15664.295210, -567640.187878
20, 0.800000, -585879.116897, 15094.164815, -570784.952082
21, 0.840000, -585753.719507, 14531.187784, -571222.531722
22, 0.880000, -586761.442930, 13955.091823, -572806.351107
23, 0.920000, -586149.426806, 13468.501993, -572680.924813
24, 0.960000, -587068.519141, 13002.770456, -574065.748686
25, 1.000000, -585750.096359, 12496.688685, -573253.407674
26, 1.040000, -585697.412517, 11975.317879, -573722.094638
27, 1.080000, -586503.831830, 11596.145133, -574907.686696
28, 1.120000, -588305.604551, 11360.054158, -576945.550393
29, 1.160000, -587964.573373, 11082.470435, -576882.102938
30, 1.200000, -587480.067504, 10763.499336, -576716.568168
31, 1.240000, -589487.917491, 10421.336238, -579066.581253
32, 1.280000, -591369.248865, 10114.829761, -581254.419104
33, 1.320000, -590731.288149, 9783.164376, -580948.123772
34, 1.360000, -589432.132195, 9477.956831, -579954.175364
35, 1.400000, -591344.328558, 9246.586337, -582097.742221
36, 1.440000, -590258.214194, 9029.657158, -581228.557036
37, 1.480000, -590451.491233, 8850.589320, -581600.901913
38, 1.520000, -592031.899872, 8702.559249, -583329.340622
39, 1.560000, -588965.876352, 8607.766863, -580358.109489
40, 1.600000, -593074.426840, 8565.288199, -584509.138641
41, 1.640000, -593462.094726, 8516.701621, -584945.393106
42, 1.680000, -595565.122324, 8404.422968, -587160.699356
43, 1.720000, -595626.180385, 8267.300581, -587358.879804
44, 1.760000, -594189.783701, 8179.181292, -586010.602409
45, 1.800000, -594089.203617, 8028.636386, -586060.567231
46, 1.840000, -594607.744534, 7897.131668, -586710.612866
47, 1.880000, -594830.415436, 7831.657652, -586998.757784
48, 1.920000, -593774.829065, 7734.707587, -586040.121478
49, 1.960000, -593295.407609, 7651.832864, -585643.574745
50, 2.000000, -594608.511507, 7562.297766, -587046.213740
51, 2.040000, -592168.407608, 7458.824527, -584709.583081
52, 2.080000, -594318.382673, 7355.017909, -586963.364764
53, 2.120000, -597007.287866, 7301.387148, -589705.900719
54, 2.160000, -596058.945150, 7228.509809, -588830.435341
55, 2.200000, -597515.525707, 7083.820718, -590431.704988
56, 2.240000, -596595.554419, 6967.670766, -589627.883653
57, 2.280000, -598835.383642, 6893.592189, -591941.791453
58, 2.320000, -598938.021625, 6826.620401, -592111.401224
59, 2.360000, -599368.843765, 6754.573015, -592614.270750
60, 2.400000, -600013.249360, 6741.279317, -593271.970043
61, 2.440000, -600729.224343, 6719.576298, -594009.648045
62, 2.480000, -597926.253791, 6596.826312, -591329.427479
63, 2.520000, -598737.300477, 6504.255998, -592233.044479
64, 2.560000, -597250.151485, 6480.305000, -590769.846485
65, 2.600000, -596667.452074, 6470.727533, -590196.724541
66, 2.640000, -599226.890191, 6475.658483, -592751.231707
67, 2.680000, -598788.501026, 6454.537999, -592333.963027
68, 2.720000, -600516.864397, 6398.014482, -594118.849915
69, 2.760000, -599232.081451, 6351.639365, -592880.442086
70, 2.800000, -596926.206229, 6345.561508, -590580.644721
71, 2.840000, -595894.082835, 6298.715977, -589595.366859
72, 2.880000, -598804.630293, 6227.531441, -592577.098852
73, 2.920000, -599165.745513, 6145.547723, -593020.197790
74, 2.960000, -598551.317335, 6140.353132, -592410.964203
75, 3.000000, -600623.367453, 6219.238392, -594404.129061
76, 3.040000, -600640.982757, 6261.360682, -594379.622076
77, 3.080000, -597706.875763, 6212.725854, -591494.149909
78, 3.120000, -598255.983459, 6183.558477, -592072.424982
79, 3.160000, -598831.496622, 6214.955218, -592616.541404
80, 3.200000, -598862.958585, 6248.794050, -592614.164535
81, 3.240000, -599402.514768, 6232.295683, -593170.219085
82, 3.280000, -600205.616503, 6188.293802, -594017.322702
83, 3.320000, -597109.478174, 6183.382269, -590926.095905
84, 3.360000, -597838.490332, 6242.371554, -591596.118778
85, 3.400000, -597669.712306, 6262.955985, -591406.756321
86, 3.440000, -599663.667575, 6273.992480, -593389.675095
87, 3.480000, -599679.607376, 6260.875541, -593418.731836
88, 3.520000, -597706.195183, 6219.441814, -591486.753369
89, 3.560000, -596451.078205, 6193.649338, -590257.428867
90, 3.600000, -598771.836455, 6251.685948, -592520.150507
91, 3.640000, -600324.684832, 6284.564413, -594040.120419
92, 3.680000, -598517.308612, 6273.419785, -592243.888827
93, 3.720000, -598307.131588, 6267.196978, -592039.934610
94, 3.760000, -599330.904555, 6213.724363, -593117.180191
95, 3.800000, -595672.501181, 6097.245538, -589575.255643
96, 3.840000, -595217.088634, 6059.697357, -589157.391278
97, 3.880000, -595641.914037, 6134.559347, -589507.354690
98, 3.920000, -596853.884240, 6189.212421, -590664.671819
99, 3.960000, -594329.174969, 6221.772477, -588107.402492
100, 4.000000, -596912.627998, 6193.277461, -590719.350537
